"Assignment Name","Assignment Scope","Assignment Id","Category","Policy Name","Policy Id","Reference Id","Resource Id","Subscription Id","Subscription Name","Resource Group","Resource Type","Resource Name","Resource Qualifier","Portal Url","Compliance State","Effect","Group Names"
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Azure Defender for open-source relational databases should be enabled","/providers/microsoft.authorization/policydefinitions/0a9fbe0d-c5c4-4da8-87d8-f4fd77338835","azuredefenderforopensourcerelationaldatabasesshouldbeenabledmonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Azure Defender for Resource Manager should be enabled","/providers/microsoft.authorization/policydefinitions/c3d20c29-b36d-48fe-808b-99a87530ad99","azuredefenderforresourcemanagershouldbeenabledmonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Azure Defender for servers should be enabled","/providers/microsoft.authorization/policydefinitions/4da35fc9-c9e7-4960-aec9-797fe7d9051d","virtualmachinesadvancedthreatprotectionmonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Azure Defender for SQL servers on machines should be enabled","/providers/microsoft.authorization/policydefinitions/6581d072-105e-4418-827f-bd446d56421b","sqlserversvirtualmachinesadvanceddatasecuritymonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Blocked accounts with owner permissions on Azure resources should be removed","/providers/microsoft.authorization/policydefinitions/0cfea604-3201-4e14-88fc-fae4c427a6c5","identityremovedeprecatedaccountwithownerpermissionsmonitoringnew","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Blocked accounts with read and write permissions on Azure resources should be removed","/providers/microsoft.authorization/policydefinitions/8d7e1fde-fe26-4b5f-8108-f8e432cbc2be","identityremovedeprecatedaccountmonitoringnew","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Email notification for high severity alerts should be enabled","/providers/microsoft.authorization/policydefinitions/6e2593d9-add6-4083-9c9b-4b7d2188c899","emailnotificationforhighseverityalertsshouldbeenabledmonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Email notification to subscription owner for high severity alerts should be enabled","/providers/microsoft.authorization/policydefinitions/0b15565f-aa9e-48ba-8619-45960f2c314d","emailnotificationtosubscriptionownerforhighseverityalertsshouldbeenabledmonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Guest accounts with owner permissions on Azure resources should be removed","/providers/microsoft.authorization/policydefinitions/339353f6-2387-4a45-abe4-7f529d121046","identityremoveexternalaccountwithownerpermissionsmonitoringnew","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Guest accounts with read permissions on Azure resources should be removed","/providers/microsoft.authorization/policydefinitions/e9ac8f8e-ce22-4355-8f04-99b911d6be52","identityremoveexternalaccountwithreadpermissionsmonitoringnew","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Guest accounts with write permissions on Azure resources should be removed","/providers/microsoft.authorization/policydefinitions/94e1c2ac-cbbe-4cac-a2b5-389c812dee87","identityremoveexternalaccountwithwritepermissionsmonitoringnew","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Microsoft Defender CSPM should be enabled","/providers/microsoft.authorization/policydefinitions/1f90fc71-a595-4066-8974-d4d0802e8ef0","microsoftdefendercspmshouldbeenabledmonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Microsoft Defender for Containers should be enabled","/providers/microsoft.authorization/policydefinitions/1c988dd6-ade4-430f-a608-2a3e5b0a6d38","containersadvancedthreatprotectionmonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Microsoft Defender for Storage (Classic) should be enabled","/providers/microsoft.authorization/policydefinitions/308fbb08-4ab8-4e67-9b29-592e93fb94fa","storageaccountsadvanceddatasecuritymonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Microsoft Defender for Storage should be enabled","/providers/microsoft.authorization/policydefinitions/640d2586-54d2-465f-877f-9ffc1d2109f4","defenderforstorageshouldbeenabledmonitoring","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","Subscriptions should have a contact email address for security issues","/providers/microsoft.authorization/policydefinitions/4f4f78b8-e367-4b10-a341-d9a4ad5cf1c7","subscriptionsshouldhaveacontactemailaddressforsecurityissuesmonitoringeffect","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
"ASC Default (subscription: b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd)","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","Security Center","There should be more than one owner assigned to your subscription","/providers/microsoft.authorization/policydefinitions/09024ccc-0c5f-475e-9457-b7c0d9ed487b","identitydesignatemorethanoneownermonitoring","/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","","subscriptions","","","https://portal.azure.com#@96011273-ccc3-44f5-95be-493f4aba3e5a/resource/subscriptions/b37716a0-3a17-4f5f-bc0f-d4bfb82f0ecd","NonCompliant","auditifnotexists",""
